order_id,customer_id,order_date,order_status,shipping_mode
1,162,2025-06-04,returned,standard
2,937,2026-06-05,completed,standard
3,154,2025-03-04,completed,standard
4,1605,2024-10-30,completed,standard
5,596,2026-08-06,completed,standard
6,1970,2026-04-29,completed,standard
7,1370,2025-03-18,completed,standard
8,596,2025-11-14,completed,standard
9,494,2026-03-30,completed,same-day
10,852,2026-01-14,cancelled,standard
11,1143,2026-04-06,completed,standard
12,1107,2026-07-09,completed,express
13,1835,2025-02-04,completed,standard
14,1033,2025-10-14,completed,standard
15,1028,2026-05-25,completed,standard
16,824,2024-05-01,completed,express
17,930,2024-12-28,completed,standard
18,1442,2026-08-20,completed,express
19,1625,2024-11-07,completed,express
20,702,2026-07-19,completed,standard
21,1176,2025-10-05,completed,same-day
22,1535,2026-03-02,completed,same-day
23,31,2025-03-29,completed,standard
24,1478,2025-01-08,completed,same-day
25,927,2025-09-04,completed,standard
26,1575,2026-04-06,completed,standard
27,1683,2025-01-11,completed,standard
28,87,2024-07-31,completed,standard
29,830,2026-04-22,completed,standard
30,1412,2025-10-21,completed,standard
31,622,2026-01-20,completed,express
32,1448,2025-11-14,completed,standard
33,1511,2026-01-29,completed,standard
34,898,2024-05-29,completed,standard
35,1617,2026-03-23,completed,express
36,676,2026-02-11,completed,standard
37,1837,2024-08-22,completed,standard
38,1621,2025-04-27,returned,standard
39,417,2025-04-25,completed,standard
40,152,2026-04-26,completed,standard
41,1965,2026-06-19,completed,standard
42,517,2026-08-15,completed,standard
43,1347,2026-07-11,returned,express
44,864,2026-04-04,completed,standard
45,34,2025-06-16,completed,standard
46,784,2026-08-08,completed,standard
47,26,2025-05-16,completed,express
48,1312,2025-06-22,completed,standard
49,920,2025-04-09,completed,standard
50,808,2025-11-06,completed,same-day
51,1317,2024-07-27,completed,standard
52,1486,2025-02-04,completed,express
53,1452,2024-04-18,returned,standard
54,600,2026-08-14,completed,standard
55,1626,2026-03-13,completed,express
56,1234,2025-09-02,completed,standard
57,1384,2024-10-18,completed,standard
58,1926,2026-07-02,completed,standard
59,1350,2024-07-19,completed,standard
60,1612,2026-06-02,cancelled,standard
61,168,2025-06-28,completed,standard
62,263,2026-01-13,completed,standard
63,375,2026-08-15,completed,standard
64,1631,2026-05-21,completed,standard
65,1398,2025-02-05,completed,standard
66,369,2026-03-17,completed,standard
67,52,2025-10-16,completed,standard
68,964,2025-04-07,completed,standard
69,284,2024-06-13,completed,standard
70,479,2025-09-19,completed,standard
71,1682,2025-11-09,completed,standard
72,1715,2026-01-22,completed,express
73,1084,2026-03-01,completed,standard
74,166,2024-12-19,completed,express
75,1537,2024-08-26,completed,standard
76,289,2024-08-25,completed,standard
77,842,2026-06-03,completed,standard
78,223,2024-10-25,completed,same-day
79,1805,2025-03-05,completed,standard
80,1475,2024-12-07,completed,standard
