order_item_id,order_id,product_id,quantity,discount_pct
1,1,14,2,0
2,1,1,1,0.1
3,1,17,2,0
4,1,17,2,0.15
5,2,14,2,0
6,3,10,2,0
7,3,17,3,0.15
8,3,16,2,0
9,4,18,2,0
10,4,17,1,0
11,4,16,1,0.2
12,4,3,2,0
13,5,9,1,0
14,5,17,3,0.1
15,5,2,1,0
16,6,1,3,0
17,6,24,1,0
18,7,21,1,0.15
19,7,16,3,0.1
20,7,19,2,0
21,7,9,2,0
22,8,17,1,0
23,8,11,1,0.1
24,8,7,2,0.1
25,9,19,2,0.1
26,10,11,3,0.2
27,11,1,1,0.2
28,11,20,2,0
29,11,5,3,0
30,11,8,1,0
31,12,17,2,0.15
32,12,1,2,0
33,12,10,1,0
34,13,16,2,0.15
35,13,14,2,0
36,13,20,2,0
37,13,22,2,0
38,14,7,1,0.15
39,14,17,3,0
40,15,23,3,0
41,15,4,3,0.1
42,15,6,1,0.2
43,15,8,1,0.1
44,16,23,3,0
45,16,6,2,0.1
46,16,16,2,0.15
47,16,7,1,0.1
48,17,22,3,0.2
49,17,3,2,0
50,18,15,3,0.15
51,19,11,3,0
52,19,14,3,0.15
53,19,19,1,0.1
54,20,8,3,0.1
55,20,4,2,0.15
56,21,8,2,0.2
57,21,19,1,0
58,22,9,3,0.15
59,22,21,3,0.1
60,22,2,3,0.15
61,23,23,2,0
62,23,21,2,0.1
63,23,16,2,0
64,24,15,3,0
65,25,16,3,0
66,25,18,3,0
67,25,12,3,0.15
68,26,17,2,0.15
69,26,17,2,0.1
70,27,22,2,0.1
71,28,6,1,0.2
72,29,24,1,0.15
73,29,18,1,0
74,29,19,3,0.15
75,30,17,1,0
76,31,23,3,0
77,31,4,1,0.1
78,31,19,1,0
79,31,16,1,0.15
80,32,8,2,0.2
81,32,17,3,0.1
82,33,8,3,0
83,34,17,3,0
84,34,7,2,0
85,34,23,2,0
86,34,16,2,0
87,35,4,2,0
88,35,11,3,0
89,36,12,1,0.2
90,37,17,2,0.2
91,37,9,2,0
92,38,3,2,0
93,39,5,1,0.2
94,40,4,2,0.2
95,40,13,3,0.15
96,40,3,3,0
97,40,19,3,0.1
98,41,5,1,0.2
99,42,14,3,0
100,42,9,2,0.1
101,42,19,2,0
102,43,24,2,0
103,43,1,1,0.1
104,43,7,1,0.15
105,43,11,2,0
106,44,12,3,0.1
107,45,22,2,0
108,45,4,3,0.1
109,46,5,3,0
110,47,21,1,0
111,47,8,1,0
112,47,3,2,0.2
113,48,18,1,0.15
114,48,14,2,0
115,48,15,1,0
116,49,13,1,0.2
117,49,4,2,0.2
118,49,21,3,0
119,50,9,3,0.15
120,50,4,2,0
121,50,15,1,0
122,50,1,1,0
123,51,21,2,0
124,52,13,3,0
125,52,23,3,0
